monto,hora,distancia_km,ingreso_mensual,fraude
1790200.0,22,254.18,23166000.0,1
6399500.0,11,701.13,19976000.0,0
4673200.0,19,228.0,22438000.0,1
3705600.0,5,922.95,11598000.0,1
3549800.0,16,194.52,18782000.0,0
7905400.0,4,142.56,25621000.0,0
9051500.0,5,373.25,20054000.0,0
1774400.0,22,459.4,25798000.0,1
6528200.0,18,423.99,6671000.0,1
2983700.0,5,703.22,8322000.0,1
9669700.0,18,532.62,23692000.0,0
9198600.0,21,709.28,17646000.0,1
6359100.0,1,530.08,20556000.0,1
7527600.0,0,677.19,18233000.0,0
5152000.0,18,667.64,22386000.0,0
8259100.0,5,628.44,14986000.0,0
4484400.0,7,807.29,24535000.0,0
3388800.0,18,584.57,14587000.0,0
2779700.0,5,676.59,20689000.0,1
2264100.0,12,405.35,19306000.0,0
5258600.0,10,318.74,13678000.0,1
4309700.0,2,137.12,5366000.0,0
6632100.0,2,820.21,6328000.0,1
129400.0,13,708.02,18680000.0,0
4477600.0,8,282.19,11550000.0,0
3652400.0,8,857.57,11754000.0,1
1954800.0,1,322.76,11868000.0,0
5949100.0,1,601.23,26191000.0,1
4353700.0,22,567.1,7840000.0,1
3000600.0,20,792.55,20649000.0,0
2095000.0,12,183.68,5562000.0,1
8746400.0,16,520.55,13462000.0,0
7974800.0,1,854.09,9187000.0,1
6067500.0,0,653.95,4633000.0,1
3451700.0,1,51.37,16854000.0,1
9468300.0,3,963.4,8655000.0,1
5634200.0,19,375.88,20032000.0,1
4328200.0,23,566.54,15608000.0,1
9004600.0,18,167.12,5804000.0,1
3194100.0,23,348.75,15553000.0,1
6960300.0,19,729.88,6972000.0,0
3138900.0,3,460.15,7252000.0,0
2616300.0,15,689.49,6335000.0,1
7008700.0,14,177.45,23988000.0,1
2279700.0,14,162.27,28233000.0,1
4931600.0,10,47.55,7182000.0,0
5800700.0,3,118.76,7843000.0,0
1889900.0,9,83.03,25274000.0,1
7312700.0,22,295.51,17012000.0,1
5485300.0,3,262.87,5087000.0,0
6215400.0,20,287.7,14979000.0,1
3722100.0,8,466.52,5591000.0,1
4202500.0,14,499.59,22058000.0,1
4948800.0,16,22.81,24941000.0,1
4700200.0,16,904.9,9541000.0,1
6756700.0,0,27.23,22381000.0,1
5772200.0,14,912.04,15340000.0,0
4163300.0,12,58.4,6414000.0,1
19000.0,1,836.45,21037000.0,1
7940500.0,2,903.7,2804000.0,1
5194300.0,16,556.34,9108000.0,1
3266100.0,23,603.27,1067000.0,0
5000100.0,18,1.99,15677000.0,0
935400.0,10,353.82,2168000.0,1
9047100.0,4,496.51,24709000.0,0
9897400.0,9,41.57,15196000.0,0
588300.0,20,913.49,29196000.0,1
3583000.0,10,106.65,5711000.0,1
7300900.0,22,373.42,10891000.0,0
3143100.0,0,239.9,8589000.0,0
5670900.0,7,33.08,6094000.0,0
4166300.0,19,301.44,28225000.0,1
7742300.0,6,499.39,27284000.0,1
9584700.0,9,677.56,23285000.0,1
8884100.0,3,386.11,28752000.0,1
6209700.0,11,24.16,9140000.0,0
1603600.0,1,636.58,24442000.0,0
9470700.0,7,586.66,16841000.0,1
237300.0,10,429.19,27413000.0,1
2977800.0,20,664.89,15823000.0,0
2816900.0,20,956.42,23088000.0,0
6718600.0,19,72.76,3684000.0,0
4874100.0,20,827.52,4244000.0,0
929800.0,11,153.09,25194000.0,0
129600.0,13,434.67,17925000.0,1
6043600.0,18,636.66,13730000.0,1
4915300.0,19,76.3,23709000.0,0
6014200.0,23,11.88,27293000.0,0
5640700.0,10,148.34,6100000.0,0
8904700.0,6,575.45,25804000.0,0
9184100.0,0,523.09,17743000.0,0
