monto,hora,distancia_km,ingreso_mensual,fraude
11900.0,19,3.37,2204000.0,0
22200.0,21,75.29,1424000.0,0
28100.0,20,14.94,1433000.0,0
78500.0,6,2.58,10192000.0,0
396800.0,10,2.78,3099000.0,0
5200.0,11,4.41,6440000.0,0
159300.0,7,1.6,9245000.0,0
37900.0,9,12.86,1424000.0,0
809000.0,14,6.55,23318000.0,0
38900.0,6,44.31,2131000.0,0
66400.0,21,2.75,5923000.0,0
99900.0,12,6.78,3540000.0,0
850400.0,7,5.76,13027000.0,0
15400.0,17,0.91,1551000.0,0
15100.0,8,3.7,2717000.0,0
158700.0,17,1.35,9626000.0,0
9000.0,22,24.32,1540000.0,0
304400.0,11,9.82,2827000.0,0
52400.0,13,2.42,2591000.0,0
39800.0,11,4.84,2039000.0,0
8100.0,7,4.35,1424000.0,0
20800.0,17,2.35,1428000.0,0
1056800.0,12,2.46,3890000.0,0
513300.0,22,12.73,5985000.0,0
119400.0,5,9.37,14913000.0,0
14100.0,15,4.01,3455000.0,0
1342600.0,19,954.0,1808000.0,1
5400.0,13,6.22,3200000.0,0
159200.0,22,138.49,5525000.0,0
8700.0,13,133.69,1424000.0,0
101300.0,17,11.13,4605000.0,0
71600.0,12,2.47,6672000.0,0
722700.0,12,7.38,11426000.0,0
43100.0,14,7.27,2233000.0,0
6800.0,14,130.36,2692000.0,0
10900.0,23,1.96,3302000.0,0
462200.0,19,4.26,7297000.0,0
3502700.0,12,285.11,5071000.0,1
22900.0,21,1.64,3843000.0,0
140300.0,13,7.38,7078000.0,0
266400.0,13,4.79,5614000.0,0
13300.0,20,6.96,3811000.0,0
122100.0,17,1.3,8634000.0,0
13035400.0,17,19.15,12164000.0,0
38400.0,19,0.46,3928000.0,0
248000.0,11,3.86,7475000.0,0
18400.0,12,3.59,1424000.0,0
15900.0,20,100.87,1424000.0,0
22400.0,7,82.98,4496000.0,0
12400.0,18,9.48,1951000.0,0
7900.0,15,3.32,2445000.0,0
17000.0,9,1.92,1424000.0,0
111500.0,6,3.86,4603000.0,0
65900.0,22,1345.56,4597000.0,0
5300.0,12,1.5,1424000.0,0
15200.0,8,11.55,2808000.0,0
185600.0,11,1.37,9666000.0,0
121200.0,16,1.46,6027000.0,0
5000.0,20,1.57,2013000.0,0
120400.0,13,70.76,5473000.0,0
49100.0,11,2.04,4603000.0,0
59200.0,14,3.03,4347000.0,0
34100.0,11,2.15,3113000.0,0
40500.0,17,6.29,5189000.0,0
85300.0,11,0.76,2818000.0,0
284100.0,5,1.54,13284000.0,0
56400.0,19,5.63,3254000.0,0
16000.0,13,474.86,8838000.0,0
128600.0,14,0.94,4936000.0,0
13300.0,12,3.99,2439000.0,0
6000.0,17,75.4,1424000.0,0
41000.0,9,2.8,1850000.0,0
19700.0,10,1.57,2759000.0,0
10400.0,11,129.79,2301000.0,0
7700.0,10,6.91,3054000.0,0
566400.0,20,1.2,7141000.0,0
69900.0,12,5.54,4940000.0,0
126700.0,23,9.21,8118000.0,0
24000.0,19,12.21,2759000.0,0
18100.0,12,2.3,2445000.0,0
111400.0,8,2.06,4008000.0,0
20500.0,17,3.23,3102000.0,0
47300.0,17,101.12,12769000.0,0
1550100.0,16,4.56,9040000.0,0
46800.0,15,918.32,4335000.0,0
67900.0,15,2.18,3517000.0,0
188000.0,8,1.37,6062000.0,0
219000.0,16,3.4,11916000.0,0
92700.0,15,7.45,5732000.0,0
560500.0,15,4.56,8880000.0,0
69700.0,19,12.38,15553000.0,0
95500.0,17,2.62,4069000.0,0
98300.0,17,5.78,4846000.0,0
98900.0,15,5.96,3254000.0,0
3000.0,18,12.86,1424000.0,0
9600.0,18,3.33,1433000.0,0
47000.0,21,3.69,2810000.0,0
146800.0,13,2.49,10592000.0,0
60300.0,18,2.5,2922000.0,0
35400.0,23,119.24,2763000.0,0
15500.0,19,1.49,2124000.0,0
